id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
E16	Frederik Hendrikbuurt	2010	7834		19	6			
E17	Da Costabuurt	2010	4395		68	16			
E18	Kinkerbuurt	2010	5140		14	9			
E19	Van Lennepbuurt	2010	6775		51	6			
E20	Helmersbuurt	2010	7120		13	11			
E21	Overtoomse Sluis	2010	7243		18	13			
E22	Vondelbuurt	2010	1730		0	4			
E36	Sloterdijk	2010	186		0	1			
E37	Landlust	2010	17966		18	0			
E38	Erasmuspark	2010	5500		0	1			
E39	De Kolenkit	2010	7313		0	6			
E40	Geuzenbuurt	2010	6487		0	1			
E41	Van Galenbuurt	2010	5502		0	0			
E42	Hoofdweg e,o,	2010	10026		0	2			
E43	Westindische Buurt	2010	6393		0	0			
E75	Chassébuurt	2010	5462		0	2			
F11	Bedrijventerrein Sloterdijk	2010	69		0	1			
F76	Slotermeer-Noordoost	2010	9177		0	2			
F77	Slotermeer-Zuidwest	2010	16069		5	7			
F78	Geuzenveld	2010	12822		0	58			
F79	Eendracht	2010	2335		0	0			
F80	Lutkemeer/Ookmeer	2010	880		0	0			
F81	Osdorp-Oost	2010	15054		0	10			
F82	Osdorp-Midden	2010	13442		0	4			
F83	De Punt	2010	5113		0	5			
F84	Middelveldsche Akerpolder	2010	14341		13	1			
F85	Slotervaart-Noord	2010	7584		0	7			
F86	Overtoomse Veld	2010	10475		0	19			
F87	Westlandgracht	2010	5154		0	3			
F88	Sloter-/Riekerpolder	2010	13839		12	23			
F89	Slotervaart-Zuid	2010	8901		0	113			
K23	Zuidas	2010	226		0	12			
K24	Oude Pijp	2010	13771		30	4			
K25	Nieuwe Pijp	2010	11539		21	5			
K26	Zuid-Pijp	2010	7976		25	3			
K44	Hoofddorppleinbuurt	2010	10846		44	6			
K45	Schinkelbuurt	2010	3727		0	11			
K46	Willemspark	2010	5233		0	17			
K47	Museumkwartier	2010	12560		2	27			
K48	Stadionbuurt	2010	12058		146	5			
K49	Apollobuurt	2010	8167		0	3			
K52	Scheldebuurt	2010	13720		0	5			
K53	IJselbuurt	2010	5041		8	0			
K54	Rijnbuurt	2010	8635		70	2			
