id	name	year	data1	data2
T93	Bijlmer-Centrum (D,F,H)	2008	20440	10261
T94	Bijlmer-Oost (E,G,K)	2008	23912	11792
T95	Nellestein	2008	2765	1394
T96	Holendrecht/Reigersbos	2008	18396	8553
T97	Gein	2008	11825	5712
T98	Driemond	2008	1487	732
Z99	buiten beschouwing	2008		0
A00	Burgwallen-Oude Zijde	2009	3783	2173
A01	Burgwallen-Nieuwe Zijde	2009	3754	2153
A02	Grachtengordel-West	2009	6316	3338
A03	Grachtengordel-Zuid	2009	5056	2724
A04	Nieuwmarkt/Lastage	2009	8783	4586
A05	Haarlemmerbuurt	2009	7918	4016
A06	Jordaan	2009	18660	9524
A07	De Weteringschans	2009	6861	3576
A08	Weesperbuurt/Plantage	2009	7618	3776
A09	Oostelijke Eilanden/Kadijken	2009	12554	6365
B10	Westelijk Havengebied	2009	238	151
E12	Houthavens	2009	1878	871
E13	Spaarndammer- en Zeeheldenbuurt	2009	9917	4939
E14	Staatsliedenbuurt	2009	11875	6022
E15	Centrale Markt	2009	2614	1220
E16	Frederik Hendrikbuurt	2009	7864	3903
E17	Da Costabuurt	2009	4350	2194
E18	Kinkerbuurt	2009	5044	2600
E19	Van Lennepbuurt	2009	6709	3341
E20	Helmersbuurt	2009	6903	3326
E21	Overtoomse Sluis	2009	7058	3435
E22	Vondelbuurt	2009	1696	877
E36	Sloterdijk	2009	184	122
E37	Landlust	2009	17514	8795
E38	Erasmuspark	2009	5531	2725
E39	De Kolenkit	2009	7219	3635
E40	Geuzenbuurt	2009	6404	3137
E41	Van Galenbuurt	2009	5460	2717
E42	Hoofdweg e,o,	2009	9988	4976
E43	Westindische Buurt	2009	6374	3079
E75	Chassébuurt	2009	5410	2657
F11	Bedrijventerrein Sloterdijk	2009	73	50
F76	Slotermeer-Noordoost	2009	9243	4756
F77	Slotermeer-Zuidwest	2009	15847	7930
F78	Geuzenveld	2009	13228	6501
F79	Eendracht	2009	2350	1146
F80	Lutkemeer/Ookmeer	2009	883	436
F81	Osdorp-Oost	2009	14444	6837
F82	Osdorp-Midden	2009	12136	5830
F83	De Punt	2009	5080	2450
F84	Middelveldsche Akerpolder	2009	14320	7060
F85	Slotervaart-Noord	2009	7640	3785
F86	Overtoomse Veld	2009	9890	4859
F87	Westlandgracht	2009	4879	2519
F88	Sloter-/Riekerpolder	2009	13934	6854
F89	Slotervaart-Zuid	2009	9098	4254
K23	Zuidas	2009	198	128
K24	Oude Pijp	2009	13665	6945
K25	Nieuwe Pijp	2009	11419	5519
K26	Zuid-Pijp	2009	8036	3866
K44	Hoofddorppleinbuurt	2009	10657	4913
K45	Schinkelbuurt	2009	3686	1788
K46	Willemspark	2009	5197	2569
K47	Museumkwartier	2009	12387	5918
K48	Stadionbuurt	2009	11796	5953
K49	Apollobuurt	2009	8047	3813
K52	Scheldebuurt	2009	13384	6133
K53	IJselbuurt	2009	5051	2431
K54	Rijnbuurt	2009	8505	3941
K59	Prinses Irenebuurt e,o,	2009	1177	538
K90	Buitenveldert-West	2009	11833	5369
K91	Buitenveldert-Oost	2009	7115	3178
M27	Weesperzijde	2009	4606	2373
M28	Oosterparkbuurt	2009	10215	5136
M29	Dapperbuurt	2009	7959	3970
M30	Transvaalbuurt	2009	9218	4673
M31	Indische Buurt-West	2009	11642	6013
M32	Indische Buurt-Oost	2009	10246	5145
M33	Oostelijk Havengebied	2009	17555	8931
M34	Zeeburgereiland/Nieuwe diep	2009	458	236
M35	IJburg-West	2009	10339	5076
M50	IJburg-Oost	2009		0
M51	IJburg-Zuid	2009	2442	1182
M55	Frankendael	2009	9626	4563
M56	Middenmeer	2009	13035	6184
M57	Betondorp	2009	3076	1439
M58	Omval/Overamstel	2009	2028	1012
N60	Volewijck	2009	9479	4713
N61	IJplein/Vogelbuurt	2009	8366	4240
N62	Tuindorp Nieuwendam	2009	3419	1573
N63	Tuindorp Buiksloot	2009	1853	899
N64	Nieuwendammerdijk/Buiksloterdijk	2009	1599	788
N65	Tuindorp Oostzaan	2009	10336	4965
N66	Oostzanerwerf	2009	8704	4202
N67	Kadoelen	2009	2892	1377
N68	Waterlandpleinbuurt	2009	12919	6098
N69	Buikslotermeer	2009	10371	4836
N70	Banne Buiksloot	2009	12732	6078
N71	Noordelijke IJ-oevers-West	2009	610	311
N72	Noordelijke IJ-oevers-Oost	2009	122	70
N73	Waterland	2009	2121	1078
N74	Elzenhagen	2009	1158	560
T92	Amstel III/Bullewijk	2009	153	114
T93	Bijlmer-Centrum (D,F,H)	2009	20666	10349
T94	Bijlmer-Oost (E,G,K)	2009	25153	12465
T95	Nellestein	2009	2757	1392
T96	Holendrecht/Reigersbos	2009	18347	8555
T97	Gein	2009	11905	5757
T98	Driemond	2009	1509	744
Z99	buiten beschouwing	2009		0
A00	Burgwallen-Oude Zijde	2010	3900	2239
A01	Burgwallen-Nieuwe Zijde	2010	4146	2421
A02	Grachtengordel-West	2010	6230	3288
A03	Grachtengordel-Zuid	2010	5125	2789
A04	Nieuwmarkt/Lastage	2010	8808	4596
A05	Haarlemmerbuurt	2010	8704	4397
A06	Jordaan	2010	18927	9661
A07	De Weteringschans	2010	6973	3571
A08	Weesperbuurt/Plantage	2010	7542	3774
A09	Oostelijke Eilanden/Kadijken	2010	12355	6236
B10	Westelijk Havengebied	2010	255	165
E12	Houthavens	2010	1749	787
